1: Homo sapiens 
2: Mus musculus 
3: Rattus norvegicus 
4:  Bos taurus 
5:  Xenopus tropicalis 
6: Sus scrofa 
7: Pan troglodytes 
8:  Canis lupus familiaris 
9: Danio rerio 
10:  Macaca mulatta 
11: Takifugu rubripes 
12: Oryctolagus cuniculus 
13:  Monodelphis domestica 
14:  Equus caballus 
15:  Callithrix jacchus 
16:  Pongo abelii 
17:  Ailuropoda melanoleuca 
18:  Anolis carolinensis 
19:  Nomascus leucogenys 
20:  Loxodonta africana 
21:  Ornithorhynchus anatinus 
22:  Oreochromis niloticus 
23:  Cavia porcellus 
24:  Cricetulus griseus 
25:  Sarcophilus harrisii 
26:  Otolemur garnettii 
27:  Pan paniscus 
28:  Papio anubis 
29:  Saimiri boliviensis boliviensis 
30:  Felis catus 
31:  Ovis aries 
32:  Gorilla gorilla gorilla 
33:  Oryzias latipes 
34:  Orcinus orca 
35:  Trichechus manatus latirostris 
36:  Odobenus rosmarus divergens 
37:  Ceratotherium simum simum 
38:  Dasypus novemcinctus 
39:  Maylandia zebra 
40:  Ochotona princeps 
41:  Sorex araneus 
42:  Octodon degus 
43:  Jaculus jaculus 
44:  Condylura cristata 
45:  Echinops telfairi 
46:  Mustela putorius furo 
47: Heterocephalus glaber 
48:  Mesocricetus auratus 
49:  Chrysemys picta bellii 
50:  Ictidomys tridecemlineatus 
51:  Microtus ochrogaster 
52:  Chinchilla lanigera 
53:  Macaca fascicularis 
54:  Capra hircus 
55:  Pundamilia nyererei 
56:  Xiphophorus maculatus 
57:  Myotis brandtii 
58:  Bos mutus 
59:  Haplochromis burtoni 
60:  Latimeria chalumnae 
61:  Alligator sinensis 
62:  Bubalus bubalis 
63:  Myotis lucifugus 
64:  Tupaia chinensis 
65:  Camelus ferus 
66:  Vicugna pacos 
67:  Leptonychotes weddellii 
68:  Myotis davidii 
69:  Chrysochloris asiatica 
70:  Elephantulus edwardii 
71:  Pteropus alecto 
72:  Peromyscus maniculatus bairdii 
73:  Chelonia mydas 
74:  Physeter catodon 
75:  Balaenoptera acutorostrata scammoni 
76:  Astyanax mexicanus 
77:  Python bivittatus 
78:  Lipotes vexillifer 
79:  Erinaceus europaeus 
80:  Poecilia formosa 
81:  Orycteropus afer afer 
82:  Chlorocebus sabaeus 
83:  Carlito syrichta 
84:  Eptesicus fuscus 
85:  Cynoglossus semilaevis 
86:  Poecilia reticulata 
87:  Equus przewalskii 
88:  Galeopterus variegatus 
89:  Ursus maritimus 
90:  Nannospalax galili 
91:  Rhinopithecus roxellana 
92:  Fukomys damarensis 
93:  Bison bison bison 
94: Esox lucius 
95:  Camelus bactrianus 
96:  Camelus dromedarius 
97:  Pteropus vampyrus 
98:  Macaca nemestrina 
99:  Colobus angolensis palliatus 
100:  Mandrillus leucophaeus 
101:  Cercocebus atys 
102:  Aotus nancymaae 
103:  Propithecus coquereli 
104:  Microcebus murinus 
105:  Dipodomys ordii 
106:  Austrofundulus limnaeus 
107:  Equus asinus 
108:  Poecilia mexicana 
109:  Poecilia latipinna 
110:  Acinonyx jubatus 
111:  Gekko japonicus 
112:  Marmota marmota marmota 
113:  Nothobranchius furzeri 
114:  Rousettus aegyptiacus 
115:  Miniopterus natalensis 
116:  Sinocyclocheilus anshuiensis 
117:  Sinocyclocheilus rhinocerous 
118:  Ictalurus punctatus 
119:  Cebus imitator 
120:  Manis javanica 
121:  Pygocentrus nattereri 
122:  Rhinopithecus bieti 
123:  Nanorana parkeri 
124:  Lates calcarifer 
125:  Panthera pardus 
126:  Alligator mississippiensis 
127:  Hipposideros armiger 
128:  Hippocampus comes 
129:  Bos indicus 
130:  Paralichthys olivaceus 
131:  Castor canadensis 
132:  Monopterus albus 
133:  Labrus bergylta 
134:  Pogona vitticeps 
135:  Odocoileus virginianus texanus 
136:  Phascolarctos cinereus 
137:  Mus caroli 
138:  Mus pahari 
139:  Meriones unguiculatus 
140:  Neomonachus schauinslandi 
141:  Enhydra lutris kenyoni 
142:  Delphinapterus leucas 
143:  Seriola dumerili 
144:  Piliocolobus tephrosceles 
145:  Seriola lalandi dorsalis 
146:  Terrapene carolina triunguis 
147:  Oryzias melastigma 
148:  Desmodus rotundus 
149:  Neophocaena asiaeorientalis asiaeorientalis 
150:  Theropithecus gelada 
151:  Canis lupus dingo 
152:  Callorhinus ursinus 
153:  Vulpes vulpes 
154:  Astatotilapia calliptera 
155:  Carassius auratus 
156:  Mastacembelus armatus 
157:  Urocitellus parryii 
158:  Ursus arctos horribilis 
159:  Pseudonaja textilis 
160:  Pangasianodon hypophthalmus 
161:  Electrophorus electricus 
162:  Lagenorhynchus obliquidens 
163:  Tachysurus fulvidraco 
164:  Bos indicus x Bos taurus 
165:  Zalophus californianus 
166:  Vombatus ursinus 
167:  Marmota flaviventris 
168:  Xiphophorus couchianus 
169:  Eumetopias jubatus 
170:  Parambassis ranga 
171:  Gouania willdenowi 
172:  Phyllostomus discolor 
173:  Perca flavescens 
174:  Podarcis muralis 
175:  Grammomys surdaster 
176:  Peromyscus leucopus 
177:  Denticeps clupeoides 
178:  Monodon monoceros 
179:  Cottoperca gobio 
180:  Echeneis naucrates 
181:  Suricata suricatta 
182:  Myripristis murdjan 
183:  Salarias fasciatus 
184:  Sphaeramia orbicularis 
185:  Microcaecilia unicolor 
186:  Lynx canadensis 
187:  Gopherus evgoodei 
188:  Archocentrus centrarchus 
189:  Chanos chanos 
190:  Globicephala melas 
191:  Sander lucioperca 
192:  Mastomys coucha 
193:  Oreochromis aureus 
194:  Hylobates moloch 
195:  Sapajus apella 
196:  Mustela erminea 
197:  Phoca vitulina 
198:  Etheostoma spectabile 
199:  Xiphophorus hellerii 
200:  Phocoena sinus 
201:  Chelonoidis abingdonii 
202:  Lontra canadensis 
203:  Rattus rattus 
204:  Rhinolophus ferrumequinum 
205:  Lacerta agilis 
206:  Trachypithecus francoisi 
207:  Tursiops truncatus 
208:  Geotrypetes seraphini 
209:  Pantherophis guttatus 
210:  Arvicanthis niloticus 
211:  Mirounga leonina 
212:  Zootoca vivipara 
213:  Halichoerus grypus 
214:  Onychomys torridus 
215:  Molossus molossus 
216:  Myotis myotis 
217:  Pipistrellus kuhlii 
